Admin;Admin;admin@admin.com;ROLE_ADMIN;admin
Jonas;Kazlauskas;jonaskazlauskas@email.com;ROLE_OWNER;password
Paulius;Petrauskas;pauliuspetrauskas@email.com;ROLE_OWNER;password
Petras;Valaitis;petrasvalaitis@email.com;ROLE_OWNER;password
Simonas;Sakalauskas;simonassakalauskas@email.com;ROLE_OWNER;password
Saulius;Adomaitis;sauliusadomaitis@email.com;ROLE_OWNER;password
Vytautas;Savickas;vytautassavickas@email.com;ROLE_OWNER;password
Šarūnas;Malinauskas;sarunasmalinauskas@email.com;ROLE_OWNER;password
Modestas;Petkevičius;modestaspetkevicius@email.com;ROLE_OWNER;password
Antanas;Kadziauskas;antanaskadziauskas@email.com;ROLE_OWNER;password
Juozas;Klinkevičius;juozasklinkevicius@email.com;ROLE_OWNER;password
Jurgis;Povilaitis;jurgispovilaitis@email.com;ROLE_OWNER;password
Augustinas;Jasaitis;augustinasjasaitis@email.com;ROLE_OWNER;password
Karolis;Kazlauskas;karoliskazlauskas@email.com;ROLE_OWNER;password
Lukas;Jonauskas;lukasjonauskas@email.com;ROLE_OWNER;password
Irmantas;Petraitis;irmantaspetraitis@email.com;ROLE_OWNER;password
Mantas;Jasaitis;mantasjasaitis@email.com;ROLE_OWNER;password
Donatas;Gabrielaitis;donatasgabrielaitis@email.com;ROLE_OWNER;password
Liudvikas;Kadziauskas;liudvikaskadziauskas@email.com;ROLE_OWNER;password
Leonas;Petrauskas;leonaspetrauskas@email.com;ROLE_OWNER;password
Simonas;Butkevičius;simonasbutkevicius@email.com;ROLE_OWNER;password
Saulė;Kazlauskaitė;saulekazlauskaite@email.com;ROLE_OWNER;password
Karolina;Malinauskaitė;karolinamalinauskaite@email.com;ROLE_OWNER;password
Kotryna;Jasaitytė;kotrynajasaityte@email.com;ROLE_OWNER;password
Kristina;Adomaitytė;kristinaadomaityte@email.com;ROLE_OWNER;password
Irena;Valaitienė;irenavalaitiene@email.com;ROLE_OWNER;password
Dalia;Jasaitienė;daliajasaitiene@email.com;ROLE_OWNER;password
Austėja;Jonauskienė;austejajonauskiene@email.com;ROLE_OWNER;password
Rūta;Petrauskaitė;rutapetrauskaite@email.com;ROLE_OWNER;password
Ieva;Marcinkevičiūtė;ievamarcinkeviciute@email.com;ROLE_OWNER;password
Paulina;Kazlauskienė;paulinakazlauskiene@email.com;ROLE_OWNER;password
Evelina;Malinauskienė;evelinamalinauskiene@email.com;ROLE_OWNER;password
Marija;Petkevičienė;marijapetkeviciene@email.com;ROLE_OWNER;password
